municipio_trafico;region_id;region_zone_id;location_id
altsasu;basque_country;cantabrian_mountains;altsasu
araia;basque_country;cantabrian_mountains;araia
arratzu;basque_country;cantabrian_mountains;arratzu
asparrena;basque_country;cantabrian_mountains;asparrena
barrundia;basque_country;cantabrian_mountains;barrundia
boveda;basque_country;cantabrian_mountains;boveda
etxarri-aranatz;basque_country;cantabrian_mountains;etxarri-aranatz
irurtzun;basque_country;cantabrian_mountains;irurtzun
kuartango;basque_country;cantabrian_mountains;kuartango
legutiano;basque_country;cantabrian_mountains;legutio
leintz-gatzaga;basque_country;cantabrian_mountains;leintz
leitza;basque_country;cantabrian_mountains;leitza
lekunberri;basque_country;cantabrian_mountains;lekunberri
murgia;basque_country;cantabrian_mountains;murgia
murua;basque_country;cantabrian_mountains;murua
otxandio;basque_country;cantabrian_mountains;otxandio
ozaeta;basque_country;cantabrian_mountains;ozaeta
ubide;basque_country;cantabrian_mountains;ubide
uharte_arakil;basque_country;cantabrian_mountains;uharte_arakil
urkabuskaiz;basque_country;cantabrian_mountains;urkabuskaiz
zalduondo;basque_country;cantabrian_mountains;zalduondo
zigoitia;basque_country;cantabrian_mountains;zigoitia
zuia;basque_country;cantabrian_mountains;zuia
abadiño;basque_country;cantabrian_valleys;abadino
abaltzisketa;basque_country;cantabrian_valleys;abaltzisketa
abanto;basque_country;cantabrian_valleys;abanto
aduna;basque_country;cantabrian_valleys;aduna
ayala/aiara;basque_country;cantabrian_valleys;aiara
ajangiz;basque_country;cantabrian_valleys;ajangiz
albiztur;basque_country;cantabrian_valleys;albiztur
aldude;basque_country;cantabrian_valleys;aldude
alegia;basque_country;cantabrian_valleys;alegia
alkiza;basque_country;cantabrian_valleys;alkiza
alonsotegi;basque_country;cantabrian_valleys;alonsotegi
altzaga;basque_country;cantabrian_valleys;altzaga
altzo;basque_country;cantabrian_valleys;altzo
amezketa;basque_country;cantabrian_valleys;amezketa
amorebieta-etxano;basque_country;cantabrian_valleys;amorebieta
amurrio;basque_country;cantabrian_valleys;amurrio
andoain;basque_country;cantabrian_valleys;andoain
anoeta;basque_country;cantabrian_valleys;anoeta
antzuola;basque_country;cantabrian_valleys;antzuola
arakaldo;basque_country;cantabrian_valleys;arakaldo
arama;basque_country;cantabrian_valleys;arama
aramaio;basque_country;cantabrian_valleys;aramaio
arantzazu;basque_country;cantabrian_valleys;arantzazu
areatza;basque_country;cantabrian_valleys;areatza
aretxabaleta;basque_country;cantabrian_valleys;aretxabaleta
arrankudiaga;basque_country;cantabrian_valleys;arrankudiaga
arrasate/mondragón;basque_country;cantabrian_valleys;arrasate
arrieta;basque_country;cantabrian_valleys;arrieta
arrigorriaga;basque_country;cantabrian_valleys;arrigorriaga
artea;basque_country;cantabrian_valleys;artea
artzentales;basque_country;cantabrian_valleys;artzentales
artziniega;basque_country;cantabrian_valleys;artziniega
asparrena;basque_country;cantabrian_valleys;asparrena
asteasu;basque_country;cantabrian_valleys;asteasu
astigarraga;basque_country;cantabrian_valleys;astigarraga
ataun;basque_country;cantabrian_valleys;ataun
atxondo;basque_country;cantabrian_valleys;atxondo
aulesti;basque_country;cantabrian_valleys;aulesti
azkoitia;basque_country;cantabrian_valleys;azkoitia
azpeitia;basque_country;cantabrian_valleys;azpeitia
baigorri;basque_country;cantabrian_valleys;baigorri
baliarrain;basque_country;cantabrian_valleys;baliarrain
balmaseda;basque_country;cantabrian_valleys;balmaseda
basauri;basque_country;cantabrian_valleys;basauri
beasain;basque_country;cantabrian_valleys;beasain
bedia;basque_country;cantabrian_valleys;bedia
beizama;basque_country;cantabrian_valleys;beizama
belauntza;basque_country;cantabrian_valleys;belauntza
bera;basque_country;cantabrian_valleys;bera
berastegi;basque_country;cantabrian_valleys;berastegi
bergara;basque_country;cantabrian_valleys;bergara
berriz;basque_country;cantabrian_valleys;berriz
berrobi;basque_country;cantabrian_valleys;berrobi
betelu;basque_country;cantabrian_valleys;betelu
bidegoian;basque_country;cantabrian_valleys;bidegoian
burgelu;basque_country;cantabrian_valleys;burgelu
derio;basque_country;cantabrian_valleys;derio
dima;basque_country;cantabrian_valleys;dima
doneztebe;basque_country;cantabrian_valleys;doneztebe
donibane_garazi;basque_country;cantabrian_valleys;donibane_garazi
durango;basque_country;cantabrian_valleys;durango
eibar;basque_country;cantabrian_valleys;eibar
elciego;basque_country;cantabrian_valleys;elciego
elduain;basque_country;cantabrian_valleys;elduain
elgeta;basque_country;cantabrian_valleys;elgeta
elgoibar;basque_country;cantabrian_valleys;elgoibar
elizondo;basque_country;cantabrian_valleys;elizondo
elorrio;basque_country;cantabrian_valleys;elorrio
ermua;basque_country;cantabrian_valleys;ermua
errezil;basque_country;cantabrian_valleys;errezil
errigoiti;basque_country;cantabrian_valleys;errigoiti
eskoriatza;basque_country;cantabrian_valleys;eskoriatza
etxebarri, ant s. esteban-etxebarri d. e.;basque_country;cantabrian_valleys;etxebarri
etxebarria;basque_country;cantabrian_valleys;etxebarria
ezkio;basque_country;cantabrian_valleys;ezkio
fruiz;basque_country;cantabrian_valleys;fruiz
gabiria;basque_country;cantabrian_valleys;gabiria
gaintza;basque_country;cantabrian_valleys;gaintza
galdakao;basque_country;cantabrian_valleys;galdakao
galdames;basque_country;cantabrian_valleys;galdames
gamiz;basque_country;cantabrian_valleys;gamiz
garai;basque_country;cantabrian_valleys;garai
gatika;basque_country;cantabrian_valleys;gatika
gaztelu;basque_country;cantabrian_valleys;gaztelu
goizueta;basque_country;cantabrian_valleys;goizueta
gordexola;basque_country;cantabrian_valleys;gordexola
güeñes;basque_country;cantabrian_valleys;guenes
hernani;basque_country;cantabrian_valleys;hernani
hernialde;basque_country;cantabrian_valleys;hernialde
ibarra;basque_country;cantabrian_valleys;ibarra
idiazabal;basque_country;cantabrian_valleys;idiazabal
igorre;basque_country;cantabrian_valleys;igorre
ikaztegieta;basque_country;cantabrian_valleys;ikaztegieta
irura;basque_country;cantabrian_valleys;irura
itsasondo;basque_country;cantabrian_valleys;itsasondo
iurreta;basque_country;cantabrian_valleys;iurreta
izurtza;basque_country;cantabrian_valleys;izurtza
kanbo;basque_country;cantabrian_valleys;kanbo
karrantza harana/valle de carranza;basque_country;cantabrian_valleys;karrantza
kortezubi;basque_country;cantabrian_valleys;kortezubi
lanestosa;basque_country;cantabrian_valleys;lanestosa
larrabetzu;basque_country;cantabrian_valleys;larrabetzu
larraul;basque_country;cantabrian_valleys;larraul
lasarte-oria;basque_country;cantabrian_valleys;lasarte
llodio;basque_country;cantabrian_valleys;laudio
laukiz;basque_country;cantabrian_valleys;laukiz
lazkao;basque_country;cantabrian_valleys;lazkao
leaburu;basque_country;cantabrian_valleys;leaburu
legazpi;basque_country;cantabrian_valleys;legazpi
legorreta;basque_country;cantabrian_valleys;legorreta
lemoa;basque_country;cantabrian_valleys;lemoa
lesaka;basque_country;cantabrian_valleys;lesaka
lezama;basque_country;cantabrian_valleys;lezama
lizartza;basque_country;cantabrian_valleys;lizartza
loiu;basque_country;cantabrian_valleys;loiu
mallabia;basque_country;cantabrian_valleys;mallabia
mañaria;basque_country;cantabrian_valleys;manaria
markina-xemein;basque_country;cantabrian_valleys;markina
maule;basque_country;cantabrian_valleys;maule
meñaka;basque_country;cantabrian_valleys;menaka
mendaro;basque_country;cantabrian_valleys;mendaro
mendata;basque_country;cantabrian_valleys;mendata
morga;basque_country;cantabrian_valleys;morga
mungia;basque_country;cantabrian_valleys;mungia
munitibar;basque_country;cantabrian_valleys;munitibar
mutiloa;basque_country;cantabrian_valleys;mutiloa
muxika;basque_country;cantabrian_valleys;muxika
nabarniz;basque_country;cantabrian_valleys;nabarniz
oiartzun;basque_country;cantabrian_valleys;oiartzun
okondo;basque_country;cantabrian_valleys;okondo
olaberria;basque_country;cantabrian_valleys;olaberria
onati;basque_country;cantabrian_valleys;onati
ordizia;basque_country;cantabrian_valleys;ordizia
orendain;basque_country;cantabrian_valleys;orendain
orexa;basque_country;cantabrian_valleys;orexa
ormaiztegi;basque_country;cantabrian_valleys;ormaiztegi
orozko;basque_country;cantabrian_valleys;orozko
ortuella;basque_country;cantabrian_valleys;ortuella
segura;basque_country;cantabrian_valleys;segura
sodupe;basque_country;cantabrian_valleys;sodupe
sondika;basque_country;cantabrian_valleys;sondika
sopuerta;basque_country;cantabrian_valleys;sopuerta
soraluze-placencia de las armas;basque_country;cantabrian_valleys;soraluze
tolosa;basque_country;cantabrian_valleys;tolosa
valle de trápaga-trapagaran;basque_country;cantabrian_valleys;trapagaran
turtzioz;basque_country;cantabrian_valleys;turtzioz
ugao-miraballes;basque_country;cantabrian_valleys;ugao
urduña-Orduña;basque_country;cantabrian_valleys;urduna
urnieta;basque_country;cantabrian_valleys;urnieta
urretxu;basque_country;cantabrian_valleys;urretxu
ustaritz;basque_country;cantabrian_valleys;ustaritz
villabona;basque_country;cantabrian_valleys;villabona
zaldibar;basque_country;cantabrian_valleys;zaldibar
zaldibia;basque_country;cantabrian_valleys;zaldibia
zalla;basque_country;cantabrian_valleys;zalla
zamudio;basque_country;cantabrian_valleys;zamudio
zaratamo;basque_country;cantabrian_valleys;zaratamo
zeanuri;basque_country;cantabrian_valleys;zeanuri
zeberio;basque_country;cantabrian_valleys;zeberio
zegama;basque_country;cantabrian_valleys;zegama
zerain;basque_country;cantabrian_valleys;zerain
ziortza;basque_country;cantabrian_valleys;ziortza
zizurkil;basque_country;cantabrian_valleys;zizurkil
zumarraga;basque_country;cantabrian_valleys;zumarraga
aia;basque_country;coast_zone;aia
aizarna;basque_country;coast_zone;aizarna
aizarnazabal;basque_country;coast_zone;aizarnazabal
amoroto;basque_country;coast_zone;amoroto
baiona;basque_country;coast_zone;baiona
bakio;basque_country;coast_zone;bakio
barrika;basque_country;coast_zone;barrika
berango;basque_country;coast_zone;berango
bermeo;basque_country;coast_zone;bermeo
berriatua;basque_country;coast_zone;berriatua
biarritz;basque_country;coast_zone;biarritz
busturia;basque_country;coast_zone;busturia
deba;basque_country;coast_zone;deba
donibane_lohizune;basque_country;coast_zone;donibane_lohizune
ea;basque_country;coast_zone;ea
elantxobe;basque_country;coast_zone;elantxobe
ereno;basque_country;coast_zone;ereno
forua;basque_country;coast_zone;forua
gautegiz arteaga;basque_country;coast_zone;gautegiz
gernika;basque_country;coast_zone;gernika
getaria;basque_country;coast_zone;getaria
gizaburuaga;basque_country;coast_zone;gizaburuaga
gorliz;basque_country;coast_zone;gorliz
hendaia;basque_country;coast_zone;hendaia
hondarribia;basque_country;coast_zone;hondarribia
ibarrangelu;basque_country;coast_zone;ibarrangelu
irun;basque_country;coast_zone;irun
ispaster;basque_country;coast_zone;ispaster
lekeitio;basque_country;coast_zone;lekeitio
lemoiz;basque_country;coast_zone;lemoiz
lezo;basque_country;coast_zone;lezo
maruri;basque_country;coast_zone;maruri
mendexa;basque_country;coast_zone;mendexa
mundaka;basque_country;coast_zone;mundaka
murueta;basque_country;coast_zone;murueta
muskiz;basque_country;coast_zone;muskiz
mutriku;basque_country;coast_zone;mutriku
ondarroa;basque_country;coast_zone;ondarroa
orio;basque_country;coast_zone;orio
plentzia;basque_country;coast_zone;plentzia
santurtzi;basque_country;coast_zone;santurtzi
sopelana;basque_country;coast_zone;sopelana
sukarrieta;basque_country;coast_zone;sukarrieta
urduliz;basque_country;coast_zone;urduliz
usurbil;basque_country;coast_zone;usurbil
zarautz;basque_country;coast_zone;zarautz
zestoa;basque_country;coast_zone;zestoa
zierbena;basque_country;coast_zone;zierbena
zumaia;basque_country;coast_zone;zumaia
donostia-san sebastián;basque_country;donostialdea;donostia
errenteria;basque_country;donostialdea;errenteria
pasaia;basque_country;donostialdea;pasaia
andosilla;basque_country;ebro_valley;andosilla
armiñón;basque_country;ebro_valley;arminon
labastida;basque_country;ebro_valley;bastida
berantevilla;basque_country;ebro_valley;berantevilla
bilar;basque_country;ebro_valley;bilar
caparroso;basque_country;ebro_valley;caparroso
carcastillo;basque_country;ebro_valley;carcastillo
cascante;basque_country;ebro_valley;cascante
cintruenigo;basque_country;ebro_valley;cintruenigo
ribera baja/erribera beitia;basque_country;ebro_valley;erriberabeitia
eskuernaga;basque_country;ebro_valley;eskuernaga
falces;basque_country;ebro_valley;falces
kripan;basque_country;ebro_valley;kripan
laguardia;basque_country;ebro_valley;laguardia
lantaron;basque_country;ebro_valley;lantaron
lanciego/lantziego;basque_country;ebro_valley;lantziego
lapuebla;basque_country;ebro_valley;lapuebla
lerin;basque_country;ebro_valley;lerin
leza;basque_country;ebro_valley;leza
lodosa;basque_country;ebro_valley;lodosa
manueta;basque_country;ebro_valley;manueta
mendavia;basque_country;ebro_valley;mendavia
moreda;basque_country;ebro_valley;moreda
navaridas;basque_country;ebro_valley;navaridas
oion;basque_country;ebro_valley;oion
olite;basque_country;ebro_valley;olite
samaniego;basque_country;ebro_valley;samaniego
tafalla;basque_country;ebro_valley;tafalla
tekora;basque_country;ebro_valley;tekora
tudela;basque_country;ebro_valley;tudela
viana;basque_country;ebro_valley;viana
zambrana;basque_country;ebro_valley;zambrana
barakaldo;basque_country;great_bilbao;barakaldo
bilbao;basque_country;great_bilbao;bilbao
erandio;basque_country;great_bilbao;erandio
getxo;basque_country;great_bilbao;getxo
leioa;basque_country;great_bilbao;leioa
portugalete;basque_country;great_bilbao;portugalete
sestao;basque_country;great_bilbao;sestao
salvatierra/agurain;basque_country;interior_basins;agurain
alegría-dulantzi;basque_country;interior_basins;alegria
anana;basque_country;interior_basins;anana
aoiz;basque_country;interior_basins;aoiz
arratzua;basque_country;interior_basins;arratzua
san millán/donemiliaga;basque_country;interior_basins;donemiliaga
ribera alta;basque_country;interior_basins;erriberagoitia
espejo;basque_country;interior_basins;espejo
valdegovía;basque_country;interior_basins;gaubea
irunia;basque_country;interior_basins;irunia
iruraiz;basque_country;interior_basins;iruraiz
lizarra;basque_country;interior_basins;lizarra
lumbier;basque_country;interior_basins;lumbier
iruña oka/iruña de oca;basque_country;interior_basins;oka
pobes;basque_country;interior_basins;pobes
zangoza;basque_country;interior_basins;zangoza
abaurreagaina;basque_country;pyrenees;abaurreagaina
auritz;basque_country;pyrenees;auritz
erronkari;basque_country;pyrenees;erronkari
eugi;basque_country;pyrenees;eugi
izaba;basque_country;pyrenees;izaba
larrau;basque_country;pyrenees;larrau
luzaide;basque_country;pyrenees;luzaide
orreaga;basque_country;pyrenees;orreaga
otsagabia;basque_country;pyrenees;otsagabia
uztarroze;basque_country;pyrenees;uztarroze
antoniana;basque_country;southern_mountain;antoniana
arraia-maeztu;basque_country;southern_mountain;arraia
azazeta;basque_country;southern_mountain;azazeta
bernedo;basque_country;southern_mountain;bernedo
harana;basque_country;southern_mountain;harana
iturrieta;basque_country;southern_mountain;iturrieta
campezo/kanpezu;basque_country;southern_mountain;kanpezu
lagran;basque_country;southern_mountain;lagran
larraona;basque_country;southern_mountain;larraona
lezaun;basque_country;southern_mountain;lezaun
maeztu;basque_country;southern_mountain;maeztu
navarrete;basque_country;southern_mountain;navarrete
urizaharra;basque_country;southern_mountain;urizaharra
zudairi;basque_country;southern_mountain;zudairi
vitoria-gasteiz;basque_country;vitoria_gasteiz;gasteiz
